Z,EPICS_SHELL,H0[mc]
21,11,41.65894279
21,14,42.48115893
21,16,252.1462379
22,1,5.467736118
22,3,21.24057905
22,5,10.93547245
22,6,10.93547245
22,8,60.43287581
22,10,38.64415205
22,11,38.64415205
22,13,37.68489904
22,14,37.68489904
22,16,241.1833586
23,1,5.221071549
23,3,20.14429171
23,5,10.34621817
23,6,10.34621817
23,8,56.86993955
23,10,36.17750288
23,11,36.17750288
23,13,34.25899844
23,14,34.25899844
23,16,231.5908387
24,1,5.001814059
24,3,19.18503903
24,5,9.811777584
24,6,9.811777584
24,8,54.54032784
24,10,34.67010743
24,11,34.67010743
24,13,35.76639475
24,14,35.76639475
24,16,253.5165985
25,1,4.796260052
25,3,18.22578698
25,5,9.332151219
25,6,9.332151219
25,8,51.11442762
25,10,32.20345865
25,11,32.20345865
25,13,29.46273836
25,14,29.46273836
25,16,217.8872394
26,1,4.604409625
26,3,17.40357175
26,5,8.907340021
26,6,8.907340021
26,8,48.64777916
26,10,30.55902803
26,11,30.55902803
26,13,27.54423501
26,14,27.54423501
26,16,212.4057984
27,1,4.426262986
27,3,16.71839246
27,5,8.509935458
27,6,8.509935458
27,8,46.45520237
27,10,29.05163193
27,11,29.05163193
27,13,26.03684
27,14,26.03684
27,16,206.9243584
28,1,4.2618194
28,3,16.0332126
28,5,8.153641672
28,6,8.153641672
28,8,44.53669955
28,10,27.68127131
28,11,27.68127131
28,13,24.52944318
28,14,24.52944318
28,16,201.4429185
29,1,4.124783602
29,3,15.34803202
29,5,7.824755253
29,6,7.824755253
29,8,43.16634144
29,10,26.85905635
29,11,26.85905635
29,13,25.35165866
29,14,25.35165866
29,16,224.7390381
30,1,3.974044168
30,3,14.79988719
30,5,7.523276579
30,6,7.523276579
30,8,40.97376396
30,10,25.48869596
30,11,25.48869596
30,13,22.19983282
30,14,22.19983282
30,16,193.2207579
31,1,3.850711584
31,3,14.25174362
31,5,7.235500667
31,6,7.235500667
31,8,39.05525969
31,10,24.11833545
31,11,24.11833545
31,13,20.00725501
31,14,20.00725501
31,16,161.7024792
31,19,125.3879391
32,1,3.727379196
32,3,13.84063538
32,5,6.975132042
32,6,6.975132042
32,8,37.1367542
32,10,22.88501108
32,11,22.88501108
32,13,18.22578698
32,14,18.22578698
32,16,141.147079
32,18,105.3806832
32,19,105.3806832
33,1,3.604046919
33,3,13.30619556
33,5,6.728467852
33,6,6.728467852
33,8,35.35528755
33,10,21.65168885
33,11,21.65168885
33,13,16.85542829
33,14,16.85542829
33,16,126.3471912
33,18,92.3622632
33,19,92.3622632
34,1,3.49441807
34,3,12.86768022
34,5,6.509209748
34,6,6.509209748
34,8,33.84789321
34,10,20.69243673
34,11,20.69243673
34,13,15.62210437
34,14,15.62210437
34,16,114.9732035
34,18,82.76974353
34,19,82.76974353
35,1,3.398492865
35,3,12.45657204
35,5,6.289952118
35,6,6.289952118
35,8,32.34049494
35,10,19.73318346
35,11,19.73318346
35,13,14.66285255
35,14,14.66285255
35,16,105.7917912
35,18,75.23276331
35,19,75.23276331
36,1,3.206642239
36,3,11.81250314
36,5,5.933659021
36,6,6.070694771
36,8,30.42199171
36,10,18.36282349
36,11,18.77393099
36,13,13.84063538
36,14,13.84063538
36,16,96.61037898
36,18,67.9698557
36,19,69.61428763
37,1,3.110717038
37,3,11.44250646
37,5,5.741808086
37,6,5.878844085
37,8,29.18866819
37,10,17.67764343
37,11,17.95171509
37,13,13.01841975
37,14,13.11434486
37,16,86.46971511
37,18,59.33658766
37,19,60.70694753
37,27,350.8121582
38,1,3.02849549
38,3,11.08621183
38,5,5.563661632
38,6,5.700697629
38,8,27.9553434
38,10,16.85542829
38,11,17.1295006
38,13,12.34694369
38,14,12.42916539
38,16,78.52162765
38,18,53.3070034
38,19,54.40329154
38,27,282.2941573
39,1,2.946274109
39,3,10.75732544
39,5,5.399218162
39,6,5.53625433
39,8,26.85905635
39,10,16.17024716
39,11,16.44432049
39,13,11.73028147
39,14,11.82620649
39,16,73.04018786
39,18,49.46999669
39,19,50.15517795
39,22,62.21434364
39,27,260.3683993
40,1,2.864052438
40,3,10.4421433
40,5,5.234774973
40,6,5.371811337
40,8,25.89980289
40,10,15.62210437
40,11,15.8961757
40,13,11.18213772
40,14,11.2780624
40,16,68.6550354
40,18,46.45520237
40,19,46.86631365
40,21,53.85514748
40,22,53.85514748
40,27,246.6647971
41,1,2.781830762
41,3,10.15436801
41,5,5.084035614
41,6,5.221071549
41,8,24.94055163
41,10,14.93692385
41,11,15.34803202
41,13,10.67510461
41,14,10.78473338
41,16,65.77727924
41,18,44.39966207
41,19,44.67373559
41,21,52.75885989
41,22,52.75885989
41,27,257.6276791
42,1,2.713312894
42,3,9.866591539
42,5,4.933296167
42,6,5.084035614
42,8,24.11833545
42,10,14.38878032
42,11,14.79988719
42,13,10.236589
42,14,10.33251437
42,16,62.48841555
42,18,41.93301476
42,19,42.34412381
42,21,47.55149164
42,22,48.92185154
42,27,249.4055181
43,1,2.644794738
43,3,9.59252029
43,5,4.796260052
43,6,4.946999634
43,8,23.29612082
43,10,13.97767143
43,11,14.25174362
43,13,9.825481443
43,14,9.921406131
43,16,58.92547962
43,18,39.32933029
43,19,39.8774762
43,21,40.97376396
43,22,41.79597982
43,27,221.9983187
44,1,2.576276806
44,3,9.34585527
44,5,4.672927544
44,6,4.82366715
44,8,22.47390275
44,10,13.45693462
44,11,13.84063538
44,13,9.455483695
44,14,9.551408766
44,16,57.00697555
44,18,37.82193625
44,19,38.50711611
44,21,40.56265673
44,22,41.52190662
44,27,238.4426376
45,1,2.521462419
45,3,9.099190544
45,5,4.549595183
45,6,4.700334885
45,8,21.78872335
45,10,13.00471597
45,11,13.33360257
45,13,9.112894224
45,14,9.19511586
45,16,54.67736375
45,18,36.04046945
45,19,36.99972049
45,21,37.95897071
45,22,38.78118702
45,27,232.9611982
46,1,2.452944301
46,3,8.866228941
46,5,4.426262986
46,6,4.590706154
46,8,21.10354336
46,10,12.59360894
46,11,12.92249458
46,13,8.797710862
46,14,8.866228941
46,16,52.89589562
46,18,34.80714418
46,19,35.76639475
46,21,38.09600642
46,22,39.05525969
47,1,2.398129979
47,3,8.646971624
47,5,4.316634114
47,6,4.481077175
47,8,20.41836331
47,10,12.20990806
47,11,12.538794
47,13,8.496231892
47,14,8.564750133
47,16,50.56628391
47,18,33.16271021
47,19,34.12196318
47,21,33.84789321
47,22,34.39603714
47,27,224.7390381
48,1,2.343315621
48,3,8.427713979
48,5,4.207005274
48,6,4.371448236
48,8,19.87022059
48,10,11.83991036
48,11,12.16879707
48,13,8.222160083
48,14,8.29067806
48,16,48.23667184
48,18,31.51827885
48,19,32.47753301
48,21,30.69606463
48,22,31.24420623
48,27,198.7021994
49,1,2.288501092
49,3,8.222160083
49,5,4.097376367
49,6,4.2618194
49,8,19.32207565
49,10,11.4836164
49,11,11.82620649
49,13,7.961791667
49,14,8.030309405
49,16,46.04409657
49,18,30.01088527
49,19,30.97013516
49,21,28.2294161
49,22,28.50348779
49,27,169.9246389
49,30,131.8286312
50,1,2.233686721
50,3,8.030309405
50,5,4.001451052
50,6,4.16589425
50,8,18.77393099
50,10,11.15473039
50,11,11.49731993
50,13,7.715127087
50,14,7.797348643
50,16,44.12559318
50,18,28.64052458
50,19,29.59977495
50,21,26.31091201
50,22,26.44794756
50,27,150.739599
50,30,114.5620948
51,1,2.17887232
51,3,7.838458995
51,5,3.905525941
51,6,4.083672713
51,8,18.22578698
51,10,10.83954757
51,11,11.18213772
51,13,7.482165522
51,14,7.564387344
51,16,42.34412381
51,18,27.40720016
51,19,28.36645141
51,21,24.52944318
51,22,24.80351702
51,27,137.0359991
51,29,100.995531
51,30,104.6955033
52,1,2.13776151
52,3,7.66031234
52,5,3.809600616
52,6,3.987747592
