Z,EPICS_SHELL,H0[mc]
93,30,23.15908301
93,32,19.45911229
93,33,19.87022059
93,35,24.94055163
93,36,24.94055163
93,41,75.6438717
93,43,52.07367946
93,44,60.56991141
93,58,258.9980385
94,1,0.983918469
94,3,3.535528731
94,5,1.699246399
94,6,2.041836317
94,8,7.742534264
94,10,4.508484465
94,11,5.056628507
94,13,3.247753278
94,14,3.357381848
94,16,15.21099556
94,18,9.551408766
94,19,10.57917936
94,21,7.797348643
94,22,8.016606145
94,24,6.19402711
94,25,6.303655847
94,27,31.24420623
94,29,20.55539955
94,30,22.74797563
94,32,19.04800475
94,33,19.45911229
94,35,25.07758849
94,36,25.07758849
94,41,75.36979955
94,43,51.52553543
94,44,61.52916366
94,58,272.7016385
95,1,0.966103757
95,3,3.480714394
95,5,1.658135633
95,6,2.014429157
95,8,7.632905394
95,10,4.439966176
95,11,4.988110388
95,13,3.192938837
95,14,3.31627133
95,16,14.93692385
95,18,9.373261909
95,19,10.41473633
95,21,7.66031234
95,22,7.893273636
95,24,6.070694771
95,25,6.166619892
95,27,30.42199171
95,29,20.00725501
95,30,22.19983282
95,32,18.63689575
95,33,19.04800475
95,35,23.84426336
95,36,25.62573086
95,41,73.72536742
95,43,50.29221322
95,44,60.43287581
95,58,269.9609175
96,1,0.949659441
96,3,3.42589982
96,5,1.630728355
96,6,1.987022045
96,8,7.509572637
96,10,4.357744724
96,11,4.919592286
96,13,3.151827862
96,14,3.275160444
96,16,14.66285255
96,18,9.208819428
96,19,10.25029267
96,21,7.523276579
96,22,7.7562375
96,24,5.961066204
96,25,6.056991098
96,27,29.73681256
96,29,19.45911229
96,30,21.78872335
96,32,18.08875109
96,33,18.63689575
96,35,21.78872335
96,36,22.74797563
96,41,70.71057577
96,43,48.37370874
96,44,57.69215534
96,58,250.7758791
97,1,0.933215115
97,3,3.371085699
97,5,1.603321249
97,6,1.959614869
97,8,7.386240358
97,10,4.289226692
97,11,4.864777882
97,13,3.110717038
97,14,3.234049471
97,16,14.38878032
97,18,9.044376274
97,19,10.08584906
97,21,7.39994419
97,22,7.632905394
97,24,5.851436919
97,25,5.947362585
97,27,29.18866819
97,29,19.04800475
97,30,21.37761525
97,32,17.81468039
97,33,18.22578698
97,35,21.92575906
97,36,23.15908301
97,41,70.57353941
97,43,48.09963354
97,44,58.51437136
97,58,264.4794775
98,1,0.91814115
98,3,3.31627133
98,5,1.575914058
98,6,1.932207552
98,8,7.276611193
98,10,4.220708725
98,11,4.796260052
98,13,3.069606441
98,14,3.192938837
98,16,14.25174362
98,18,8.879932524
98,19,9.935110104
98,21,7.276611193
98,22,7.509572637
98,24,5.741808086
98,25,5.837733711
98,27,28.50348779
98,29,18.63689575
98,30,20.96650697
98,32,17.40357175
98,33,17.95171509
98,35,21.10354336
98,36,22.19983282
98,41,69.20317952
98,43,47.1403847
98,44,57.69215534
98,58,261.7387577
99,1,0.901696904
99,3,3.261456773
99,5,1.548506717
99,6,1.918504082
99,8,7.166982809
99,10,4.152190633
99,11,4.741445554
99,13,3.02849549
99,14,3.151827862
99,16,13.97767143
99,18,8.715489617
99,19,9.784370429
99,21,7.166982809
99,22,7.39994419
99,24,5.632179323
99,25,5.728104988
99,27,27.9553434
99,29,18.22578698
99,30,20.55539955
99,32,16.99246411
99,33,17.54060815
99,35,20.41836331
99,36,21.37761525
99,41,67.8328193
99,43,46.18113394
99,44,56.86993955
99,58,258.9980385
100,1,0.88525252
100,3,3.206642239
100,5,1.521099545
100,6,1.891096762
100,8,7.05735375
100,10,4.083672713
100,11,4.672927544
100,13,2.987384807
100,14,3.110717038
100,16,13.68989622
100,18,8.564750133
100,19,9.633630545
100,21,7.05735375
100,22,7.290315025
100,24,5.53625433
100,25,5.632179323
100,27,27.27016257
100,29,17.81468039
100,30,20.28132797
100,32,16.58135644
100,33,17.2665354
100,35,19.73318346
100,36,20.69243673
100,41,66.46245943
100,43,45.35891586
100,44,56.18475958
100,58,256.2573181
